Series Name,Series Code,countryName,Country Code,YR1990,YR2000,YR2005,YR2006,YR2007,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],year2013,YR2014
"Population, total",SP.POP.TOTL,Afghanistan,AFG,11731193,20595360,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536,30551674,
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900489,2897366,
"Population, total",SP.POP.TOTL,Algeria,DZA,26239708,31719449,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705,39208194,
"Population, total",SP.POP.TOTL,American Samoa,ASM,47044,57522,59117,58652,57919,57053,56245,55636,55274,55128,55165,
"Population, total",SP.POP.TOTL,Andorra,ADO,54511,65399,81223,81877,81292,79969,78659,77907,77865,78360,79218,
"Population, total",SP.POP.TOTL,Angola,AGO,10333844,13924930,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525,21471618,
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,61906,77648,82565,83467,84397,85349,86300,87233,88152,89069,89985,
"Population, total",SP.POP.TOTL,Argentina,ARG,32624874,36903067,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927,41446246,
"Population, total",SP.POP.TOTL,Armenia,ARM,3544695,3076098,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081,2976566,
"Population, total",SP.POP.TOTL,Aruba,ABW,62148,90858,100031,100830,101219,101344,101418,101597,101932,102384,102911,
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,20394800,20697900,20827600,21249200,21691700,22031800,22340000,22728300,23129300,
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256338,297759,329088,335622,342049,348340,354492,360498,366331,371960,377374,
"Population, total",SP.POP.TOTL,Bahrain,BHR,495944,668239,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827,1332171,
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107385847,132383265,143135180,144868702,146457067,147969967,149503100,151125475,152862431,154695368,156594962,
"Population, total",SP.POP.TOTL,Barbados,BRB,259336,267190,273568,274923,276277,277634,279006,280396,281804,283221,284644,
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,10005000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000,
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246,11182817,
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,238586,271920,278985,286196,293544,301016,308595,316280,324060,331900,
"Population, total",SP.POP.TOTL,Benin,BEN,5001271,6949366,8182362,8443671,8707490,8973293,9240783,9509798,9779795,10050702,10323474,
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64154,64523,64888,65273,65636,65124,64564,64798,65024,
